"Player_no","PLAYER_BET_NUMBER","BET_PLACED_DATE","OVER_1000_SEK","EVENT_NAME","LEAGUE","BET_OFFER_TYPE","CRITERIA_NAME","IS_LIVE","BET_LABEL","ODDS","BET_OUTCOME"
120,1,2022-07-09 15:31:50,"YES","Norrby IF - Vaster?s SK FK","Superettan","Three way 1x2","Full Time","Y","Vaster?s SK FK",4,"Bet Lost"
121,1,2022-07-05 17:53:49,"YES","Orgryte IS - Orebro SK","Superettan","Three way 1x2","Full Time","N","Orebro SK",3.55,"Bet Lost"
121,2,2022-07-05 19:40:46,"YES","Orgryte IS - Orebro SK","Superettan","Asian Handicap","Asian Handicap - 1st Half ({0} - {1}) 0","Y","Orebro SK",1.88,"Bet Won"
122,1,2022-07-10 18:59:44,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","Y","Kalmar FF",2.06,"Bet Lost"
123,1,2022-07-10 12:21:34,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","N","Kalmar FF",1.7,"Bet Lost"
123,2,2022-07-10 18:10:27,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Double Chance","Double Chance","Y","1X",1.6,"Bet Won"
124,1,2022-07-10 15:16:17,"YES","IF Elfsborg - AIK","Allsvenskan","Double Chance","Double Chance","Y","X2",1.61,"Bet Won"
125,1,2022-07-10 12:59:00,"YES","Jonkopings Sodra IF - Ostersunds FK","Superettan","Three way 1x2","Full Time","N","Jonkopings Sodra IF",1.85,"Bet Won"
126,1,2022-07-10 19:13:03,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","Y","IK Sirius FK",7.5,"Bet Lost"
127,1,2022-07-09 18:52:57,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Three way 1x2","Full Time","Y","IFK Norrkoping",1.3,"Bet Lost"
128,1,2022-07-09 16:00:27,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Over Under","Total Goals by Away Team 0.5","Y","Over",2.9,"Bet Lost"
129,1,2022-07-10 15:40:26,"YES","IF Elfsborg - AIK","Allsvenskan","Over Under","Total Corners by Away Team 8.5","Y","Over",2.55,"Bet Won"
130,4,2022-07-09 14:56:50,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Result","Correct Score","N","3-0",8,"Bet Won"
131,1,2022-07-06 05:13:15,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","N","IK Sirius FK",5,"Bet Lost"
132,1,2022-07-09 14:12:56,"YES","IF Brommapojkarna - Dalkurd FF","Superettan","Asian Handicap","Asian Handicap ({0} - {1}) -0.25","Y","Dalkurd FF",2.12,"Bet Lost"
132,2,2022-07-10 13:06:04,"YES","Jonkopings Sodra IF - Ostersunds FK","Superettan","Double Chance","Double Chance","Y","X2",3.45,"Bet Lost"
133,1,2022-07-05 19:46:17,"YES","Orgryte IS - Orebro SK","Superettan","Over Under","Total Goals 2.5","Y","Under",2.04,"Bet Won"
133,2,2022-07-09 14:08:03,"YES","IF Brommapojkarna - Dalkurd FF","Superettan","Occurrence To Happen","Both Teams To Score","Y","No",1.8,"Bet Won"
133,3,2022-07-09 15:14:07,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Over Under","Total Goals 2.5","Y","Under",2.12,"Bet Lost"
134,1,2022-07-05 20:00:18,"YES","Orgryte IS - Orebro SK","Superettan","Over Under","Total Goals 2.5","Y","Over",2.16,"Bet Lost"
135,1,2022-07-10 18:15:51,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","Y","X",3.3,"Bet Won"
136,3,2022-07-10 14:39:25,"YES","IF Elfsborg - AIK","Allsvenskan","Three way 1x2","Full Time","N","AIK",3.4,"Bet Lost"
137,1,2022-07-09 14:54:17,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Three Way Handicap","3-Way Handicap -3","N","Malmo FF",5.6,"Bet Won"
137,2,2022-07-09 15:00:02,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Three Way Handicap","3-Way Handicap -3","Y","Malmo FF",6,"Bet Won"
138,1,2022-07-10 14:06:30,"YES","IF Elfsborg - AIK","Allsvenskan","Three way 1x2","Full Time","N","AIK",3.15,"Bet Lost"
139,1,2022-07-05 18:51:02,"YES","Orgryte IS - Orebro SK","Superettan","Asian Over/Under","Asian Total 3","N","Over",2.85,"Bet Lost"
140,1,2022-07-09 15:45:51,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Over Under","Total Goals by Home Team 3.5","Y","Under",1.04,"Bet Won"
140,2,2022-07-10 15:30:01,"YES","IF Elfsborg - AIK","Allsvenskan","Over Under","Total Goals by Away Team 3.5","Y","Under",1.04,"Bet Won"
140,3,2022-07-10 18:57:30,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Over Under","Total Goals by Home Team 3.5","Y","Under",1.04,"Bet Won"
141,1,2022-07-05 20:23:13,"YES","Orgryte IS - Orebro SK","Superettan","Occurrence To Happen","Corner {0}:00-{1}:59 - 2nd Half","Y","Yes",2.15,"Bet Won"
142,1,2022-07-09 14:56:06,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Three way 1x2","Full Time","N","Malmo FF",1.3,"Bet Won"
143,1,2022-07-10 16:59:36,"YES","Hammarby IF - IFK Goteborg","Allsvenskan","Over Under","Total Goals 2.5","N","Over",1.9,"Bet Won"
143,2,2022-07-10 19:56:27,"YES","Hammarby IF - IFK Goteborg","Allsvenskan","Over Under","Total Goals 2.5","N","Over",1.9,"Bet Won"
144,1,2022-07-09 18:32:08,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Over Under","Total Goals 2.5","Y","Over",1.9,"Bet Lost"
145,1,2022-07-10 15:59:26,"YES","IF Elfsborg - AIK","Allsvenskan","Over Under","Total Corners by Away Team 7.5","Y","Over",1.85,"Bet Won"
145,2,2022-07-10 16:34:53,"YES","IF Elfsborg - AIK","Allsvenskan","Over Under","Total Corners by Away Team 9.5","Y","Over",1.6,"Bet Won"
145,3,2022-07-10 17:17:00,"YES","Skovde AIK - Orgryte IS","Superettan","Over Under","Total Goals by Away Team 0.5","Y","Over",1.54,"Bet Won"
145,4,2022-07-10 18:47:33,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Over Under","Total Corners by Home Team 7.5","Y","Over",1.8,"Bet Won"
146,1,2022-07-05 20:20:21,"YES","Orgryte IS - Orebro SK","Superettan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Orebro SK",2.38,"Bet Lost"
146,2,2022-07-09 15:26:30,"YES","Norrby IF - Vaster?s SK FK","Superettan","Next Occurrence Number Draw No Bet","Next Goal, No Goal No Bet ({0})","Y","Vaster?s SK FK",2.4,"Bet Lost"
146,3,2022-07-09 16:13:21,"YES","Norrby IF - Vaster?s SK FK","Superettan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Norrby IF",2.25,"Bet Lost"
146,4,2022-07-10 15:27:47,"YES","Mjallby AIF - BK Hacken","Allsvenskan","Over Under","Total Corners by Home Team 12.5","Y","Over",2.23,"Bet Won"
146,5,2022-07-10 17:15:47,"YES","Skovde AIK - Orgryte IS","Superettan","Next Occurrence Number Draw No Bet","Next Goal, No Goal No Bet ({0})","Y","Orgryte IS",2.38,"Bet Lost"
147,1,2022-07-09 17:29:09,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Over Under","Total Corners by Away Team 6.5","N","Over",2.3,"Bet Lost"
148,1,2022-07-05 18:59:19,"YES","Halmstads BK - Jonkopings Sodra IF","Superettan","Three way 1x2","Full Time","N","Halmstads BK",1.42,"Bet Won"
148,2,2022-07-09 08:36:25,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Asian Handicap","Asian Handicap -1.5","N","Malmo FF",1.92,"Bet Won"
148,3,2022-07-10 09:47:14,"YES","IF Elfsborg - AIK","Allsvenskan","Three way 1x2","Full Time","N","IF Elfsborg",2.12,"Bet Lost"
148,4,2022-07-10 12:36:15,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","N","Kalmar FF",1.7,"Bet Lost"
